# Bing Image Creator Prompts for Resh Community Blog
# Only includes posts that actually exist in content/posts/
# Format: SLUG | PROMPT

# DeFi
defi-vs-traditional-finance|Split comparison showing traditional bank versus DeFi new finance, cryptocurrency blockchain illustration, flat vector design, minimalist style, professional tech aesthetic, color palette: #FF6600 orange accent, #D93E40 red, #333333 dark gray, high contrast, clean lines, educational style, white background
is-defi-safe|Shield lock concept with warning elements for DeFi safety analysis, cryptocurrency blockchain illustration, flat vector design, minimalist style, professional tech aesthetic, color palette: #FF6600 orange accent, #D93E40 red, #333333 dark gray, high contrast, clean lines, educational style, white background
how-to-use-defi|Step by step flow showing user journey and tutorial concept, cryptocurrency blockchain illustration, flat vector design, minimalist style, professional tech aesthetic, color palette: #FF6600 orange accent, #D93E40 red, #333333 dark gray, high contrast, clean lines, educational style, white background
pancakeswap-explained|PancakeSwap bunny theme with trading interface and DEX concept, cryptocurrency blockchain illustration, flat vector design, minimalist style, professional tech aesthetic, color palette: #FF6600 orange accent, #D93E40 red, #333333 dark gray, high contrast, clean lines, educational style, white background
is-pancakeswap-a-scam|Magnifying glass investigation concept for PancakeSwap safety analysis, cryptocurrency blockchain illustration, flat vector design, minimalist style, professional tech aesthetic, color palette: #FF6600 orange accent, #D93E40 red, #333333 dark gray, high contrast, clean lines, educational style, white background
uniswap-tutorial|Uniswap unicorn theme with swap interface and DEX tutorial, cryptocurrency blockchain illustration, flat vector design, minimalist style, professional tech aesthetic, color palette: #FF6600 orange accent, #D93E40 red, #333333 dark gray, high contrast, clean lines, educational style, white background
what-is-dex|Decentralized exchange concept with P2P trading elements, cryptocurrency blockchain illustration, flat vector design, minimalist style, professional tech aesthetic, color palette: #FF6600 orange accent, #D93E40 red, #333333 dark gray, high contrast, clean lines, educational style, white background
liquidity-pools-explained|Detailed liquidity pool diagram with tokens and LP mechanics, cryptocurrency blockchain illustration, flat vector design, minimalist style, professional tech aesthetic, color palette: #FF6600 orange accent, #D93E40 red, #333333 dark gray, high contrast, clean lines, educational style, white background
yield-farming-explained|Farm growth concept with crypto plants and passive income harvest, cryptocurrency blockchain illustration, flat vector design, minimalist style, professional tech aesthetic, color palette: #FF6600 orange accent, #D93E40 red, #333333 dark gray, high contrast, clean lines, educational style, white background
staking-vs-yield-farming|Comparison split showing staking as holding versus farming as active earning, cryptocurrency blockchain illustration, flat vector design, minimalist style, professional tech aesthetic, color palette: #FF6600 orange accent, #D93E40 red, #333333 dark gray, high contrast, clean lines, educational style, white background
impermanent-loss-explained|Loss concept with downward arrow and recovery curve for liquidity pools, cryptocurrency blockchain illustration, flat vector design, minimalist style, professional tech aesthetic, color palette: #FF6600 orange accent, #D93E40 red, #333333 dark gray, high contrast, clean lines, educational style, white background
total-value-locked-tvl-explained|Locked vault with value counter and TVL chart metric visualization, cryptocurrency blockchain illustration, flat vector design, minimalist style, professional tech aesthetic, color palette: #FF6600 orange accent, #D93E40 red, #333333 dark gray, high contrast, clean lines, educational style, white background
liquidity-mining-explained|Mining concept with crypto pickaxe and rewards for liquidity providers, cryptocurrency blockchain illustration, flat vector design, minimalist style, professional tech aesthetic, color palette: #FF6600 orange accent, #D93E40 red, #333333 dark gray, high contrast, clean lines, educational style, white background
defi-state-of-market-2025|Market chart with 2025 theme and growth arrows for DeFi analysis, cryptocurrency blockchain illustration, flat vector design, minimalist style, professional tech aesthetic, color palette: #FF6600 orange accent, #D93E40 red, #333333 dark gray, high contrast, clean lines, educational style, white background
defi-yield-farming-decision-tree-2025|Decision tree flowchart with branching paths for yield farming strategies, cryptocurrency blockchain illustration, flat vector design, minimalist style, professional tech aesthetic, color palette: #FF6600 orange accent, #D93E40 red, #333333 dark gray, high contrast, clean lines, educational style, white background

# Trading
trading-hub|Trading central hub with spokes for analysis strategies and charts, cryptocurrency blockchain illustration, flat vector design, minimalist style, professional tech aesthetic, color palette: #FF6600 orange accent, #D93E40 red, #333333 dark gray, high contrast, clean lines, educational style, white background
how-to-trade-cryptocurrency|Trading interface with buy sell arrows for beginner guide, cryptocurrency blockchain illustration, flat vector design, minimalist style, professional tech aesthetic, color palette: #FF6600 orange accent, #D93E40 red, #333333 dark gray, high contrast, clean lines, educational style, white background
day-trading-crypto|Day night cycle with trading chart and fast-paced day trading concept, cryptocurrency blockchain illustration, flat vector design, minimalist style, professional tech aesthetic, color palette: #FF6600 orange accent, #D93E40 red, #333333 dark gray, high contrast, clean lines, educational style, white background
crypto-trading-strategies|Strategy board chess-like thinking for trading tactics and planning, cryptocurrency blockchain illustration, flat vector design, minimalist style, professional tech aesthetic, color palette: #FF6600 orange accent, #D93E40 red, #333333 dark gray, high contrast, clean lines, educational style, white background
crypto-technical-analysis|Candlestick chart with technical indicators for market analysis, cryptocurrency blockchain illustration, flat vector design, minimalist style, professional tech aesthetic, color palette: #FF6600 orange accent, #D93E40 red, #333333 dark gray, high contrast, clean lines, educational style, white background
how-to-read-crypto-charts|Chart with annotations and magnified sections for reading guide, cryptocurrency blockchain illustration, flat vector design, minimalist style, professional tech aesthetic, color palette: #FF6600 orange accent, #D93E40 red, #333333 dark gray, high contrast, clean lines, educational style, white background
dollar-cost-averaging-crypto|Regular purchases over time showing staircase up investment pattern, cryptocurrency blockchain illustration, flat vector design, minimalist style, professional tech aesthetic, color palette: #FF6600 orange accent, #D93E40 red, #333333 dark gray, high contrast, clean lines, educational style, white background
best-cryptocurrency-to-invest|Investment growth trophy ranking for best cryptocurrency to invest, cryptocurrency blockchain illustration, flat vector design, minimalist style, professional tech aesthetic, color palette: #FF6600 orange accent, #D93E40 red, #333333 dark gray, high contrast, clean lines, educational style, white background
diversifying-crypto-portfolio|Portfolio diversification pie chart with multiple crypto assets, cryptocurrency blockchain illustration, flat vector design, minimalist style, professional tech aesthetic, color palette: #FF6600 orange accent, #D93E40 red, #333333 dark gray, high contrast, clean lines, educational style, white background
